system:index,month,name,water,year,.geo
0_3_0000000000000000002b,4.0,Al-Falluja,162485.53333333324,2013.0,
0_3_00000000000000000037,4.0,Al-Kaim,27062.870588235295,2013.0,
0_3_0000000000000000004a,4.0,Haditha,358802.3843137253,2013.0,
0_3_0000000000000000004c,4.0,Heet,487670.65490196046,2013.0,
0_3_00000000000000000006,4.0,Al-Qurna,172898.00000000006,2013.0,
0_3_00000000000000000016,4.0,Al-Zubair,13877.184313725504,2013.0,
0_3_00000000000000000020,4.0,Abu Al-Khaseeb,57660.8470588236,2013.0,
0_3_00000000000000000027,4.0,Al-Basrah,185863.23921568634,2013.0,
0_3_0000000000000000002c,4.0,Al-Faw,394561.3529411758,2013.0,
0_3_00000000000000000043,4.0,Al-Midaina,235677.55294117623,2013.0,
0_3_0000000000000000005c,4.0,Shat Al-Arab,41220.082352941245,2013.0,
0_3_0000000000000000000a,4.0,Al-Rumaitha,9100.874509803922,2013.0,
0_3_0000000000000000000c,4.0,Al-Salman,12601.533333333333,2013.0,
0_3_0000000000000000000d,4.0,Al-Samawa,7570.470588235294,2013.0,
0_3_0000000000000000003a,4.0,Al-Khidhir,10839.886274509812,2013.0,
0_3_00000000000000000003,4.0,Al-Najaf,104386.9137254902,2013.0,
0_3_0000000000000000003b,4.0,Al-Kufa,6437.839215686276,2013.0,
0_3_00000000000000000041,4.0,Al-Manathera,4244.423529411764,2013.0,
0_3_0000000000000000000e,4.0,Al-Shamiya,5783.737254901961,2013.0,
0_3_00000000000000000021,4.0,Afaq,151918.3647058823,2013.0,
0_3_0000000000000000002a,4.0,Al-Diwaniya,3194.219607843137,2013.0,
0_3_0000000000000000002f,4.0,Al-Hamza,11118.725490196079,2013.0,
0_3_00000000000000000012,4.0,Al-Sulaymaniyah,213.0,2013.0,
0_3_0000000000000000001f,4.0,Chamchamal,1587.4980392156863,2013.0,
0_3_00000000000000000045,4.0,Derbendikhan,65748.75294117647,2013.0,
0_3_00000000000000000047,4.0,Dokan,103242.36470588243,2013.0,
0_3_0000000000000000004b,4.0,Halabcha,20726.447058823545,2013.0,
0_3_0000000000000000004d,4.0,Kalar,9621.623529411767,2013.0,
0_3_00000000000000000054,4.0,Panjwin,78.0,2013.0,
0_3_00000000000000000055,4.0,Pshdar,6757.2196078431325,2013.0,
0_3_00000000000000000057,4.0,Rania,152529.18823529413,2013.0,
0_3_0000000000000000005b,4.0,Sharbazher,1219.5960784313725,2013.0,
0_3_00000000000000000002,4.0,Al-Mussyab,43394.121568627445,2013.0,
0_3_00000000000000000030,4.0,Al-Hashimiya,5274.607843137255,2013.0,
0_3_00000000000000000033,4.0,Al-Hilla,13746.78431372549,2013.0,
0_3_0000000000000000003e,4.0,Al-Mahaweel,17908.909803921575,2013.0,
0_3_00000000000000000009,4.0,Al-Risafa,6994.521568627451,2013.0,
0_3_00000000000000000014,4.0,Al-Thawra,933.0941176470587,2013.0,
0_3_00000000000000000023,4.0,Al-Adhamiya,3286.2078431372547,2013.0,
0_3_00000000000000000035,4.0,Al-Kadhmiyah,45274.2,2013.0,
0_3_00000000000000000038,4.0,Al-Karkh,9025.368627450976,2013.0,
0_3_0000000000000000003d,4.0,Al-Mada'in,25000.360784313754,2013.0,
0_3_0000000000000000003f,4.0,Al-Mahmoudiya,17312.396078431382,2013.0,
0_3_00000000000000000024,4.0,Al-Amadiya,3923.2784313725488,2013.0,
0_3_00000000000000000048,4.0,Duhok,3380.698039215686,2013.0,
0_3_0000000000000000005e,4.0,Sumail,23106.847058823594,2013.0,
0_3_00000000000000000064,4.0,Zakho,5960.756862745097,2013.0,
0_3_00000000000000000001,4.0,Al-Muqdadiya,796.7607843137255,2013.0,
0_3_0000000000000000001c,4.0,Baladruz,4988.0,2013.0,
0_3_0000000000000000001d,4.0,Baquba,1215.8823529411764,2013.0,
0_3_00000000000000000039,4.0,Al-Khalis,12792.243137254898,2013.0,
0_3_0000000000000000004f,4.0,Khanaqin,232892.56078431336,2013.0,
0_3_00000000000000000050,4.0,Kifri,1245.2313725490196,2013.0,
0_3_00000000000000000015,4.0,Al-Zibar,2490.560784313725,2013.0,
0_3_00000000000000000049,4.0,Erbil,1377.0745098039215,2013.0,
0_3_00000000000000000052,4.0,Koysinjaq,8760.082352941175,2013.0,
0_3_00000000000000000053,4.0,Makhmour,1681.8941176470587,2013.0,
0_3_00000000000000000058,4.0,Rawanduz,3836.8078431372564,2013.0,
0_3_0000000000000000005a,4.0,Shaqlawa,44.4078431372549,2013.0,
0_3_00000000000000000022,4.0,Ain Al-Tamur,214688.79215686268,2013.0,
0_3_00000000000000000034,4.0,Al-Hindiya,6546.596078431373,2013.0,
0_3_0000000000000000004e,4.0,Kerbela,78318.39607843137,2013.0,
0_3_00000000000000000032,4.0,Al-Hawiga,7618.73725490196,2013.0,
0_3_00000000000000000044,4.0,Daquq,15510.882352941178,2013.0,
0_3_00000000000000000046,4.0,Dibis,8309.274509803923,2013.0,
0_3_00000000000000000051,4.0,Kirkuk,3952.164705882353,2013.0,
0_3_00000000000000000017,4.0,Ali Al-Gharbi,44942.80392156863,2013.0,
0_3_00000000000000000025,4.0,Al-Amara,44375.44313725491,2013.0,
